CerealName,Manufacturer,Type,Calories
100%_Bran,Nabisco,C,70
100%_Natural_Bran,Quaker Oats,C,120
All-Bran,Kelloggs,C,70
All-Bran_with_Extra_Fiber,Kelloggs,C,50
Almond_Delight,Ralston Purina,C,110
Apple_Cinnamon_Cheerios,General Mills,C,110
Apple_Jacks,Kelloggs,C,110
Basic_4,General Mills,C,130
Bran_Chex,Ralston Purina,C,90
Bran_Flakes,Post,C,90
Cap'n'Crunch,Quaker Oats,C,120
Cheerios,General Mills,C,110
Cinnamon_Toast_Crunch,General Mills,C,120
Clusters,General Mills,C,110
Cocoa_Puffs,General Mills,C,110
Corn_Chex,Ralston Purina,C,110
Corn_Flakes,Kelloggs,C,100
Corn_Pops,Kelloggs,C,110
Count_Chocula,General Mills,C,110
Cracklin'_Oat_Bran,Kelloggs,C,110
Cream_of_Wheat_(Quick),Nabisco,H,100
Crispix,Kelloggs,C,110
Crispy_Wheat_&_Raisins,General Mills,C,100
Double_Chex,Ralston Purina,C,100
Froot_Loops,Kelloggs,C,110
Frosted_Flakes,Kelloggs,C,110
Frosted_Mini-Wheats,Kelloggs,C,100
Fruitful_Bran,Kelloggs,C,120
Fruity_Pebbles,Post,C,110
Golden_Crisp,Post,C,100
Golden_Grahams,General Mills,C,110
Grape_Nuts_Flakes,Post,C,100
Grape-Nuts,Post,C,110
Great_Grains_Pecan,Post,C,120
Honey_Graham_Ohs,Quaker Oats,C,120
Honey_Nut_Cheerios,General Mills,C,110
Honey-comb,Post,C,110
Just_Right_Crunchy__Nuggets,Kelloggs,C,110
Just_Right_Fruit_&_Nut,Kelloggs,C,140
Kix,General Mills,C,110
Life,Quaker Oats,C,100
Lucky_Charms,General Mills,C,110
Maypo,American Home Food Products,H,100
Mueslix_Crispy_Blend,Kelloggs,C,160
Multi-Grain_Cheerios,General Mills,C,100
Nut&Honey_Crunch,Kelloggs,C,120
Nutri-Grain_Almond-Raisin,Kelloggs,C,140
Nutri-grain_Wheat,Kelloggs,C,90
Oatmeal_Raisin_Crisp,General Mills,C,130
Post_Nat._Raisin_Bran,Post,C,120
Product_19,Kelloggs,C,100
Puffed_Rice,Quaker Oats,C,50
Puffed_Wheat,Quaker Oats,C,50
Quaker_Oat_Squares,Quaker Oats,C,100
Quaker_Oatmeal,Quaker Oats,H,100
Raisin_Bran,Kelloggs,C,120
Raisin_Nut_Bran,General Mills,C,100
Raisin_Squares,Kelloggs,C,90
Rice_Chex,Ralston Purina,C,110
Rice_Krispies,Kelloggs,C,110
Shredded_Wheat,Nabisco,C,80
Shredded_Wheat_'n'Bran,Nabisco,C,90
Shredded_Wheat_spoon_size,Nabisco,C,90
Smacks,Kelloggs,C,110
Special_K,Kelloggs,C,110
Strawberry_Fruit_Wheats,Nabisco,C,90
Total_Corn_Flakes,General Mills,C,110
Total_Raisin_Bran,General Mills,C,140
Total_Whole_Grain,General Mills,C,100
Triples,General Mills,C,110
Trix,General Mills,C,110
Wheat_Chex,Ralston Purina,C,100
Wheaties,General Mills,C,100
Wheaties_Honey_Gold,General Mills,C,110
