CerealName,Protein_g,Fat,DietaryFiber,Sugars
100%_Bran,4,1,10,6
100%_Natural_Bran,3,5,2,8
All-Bran,4,1,9,5
All-Bran_with_Extra_Fiber,4,0,14,0
Almond_Delight,2,2,1,8
Apple_Cinnamon_Cheerios,2,2,1.5,10
Apple_Jacks,2,0,1,14
Basic_4,3,2,2,8
Bran_Chex,2,1,4,6
Bran_Flakes,3,0,5,5
Cap'n'Crunch,1,2,0,12
Cheerios,6,2,2,1
Cinnamon_Toast_Crunch,1,3,0,9
Clusters,3,2,2,7
Cocoa_Puffs,1,1,0,13
Corn_Chex,2,0,0,3
Corn_Flakes,2,0,1,2
Corn_Pops,1,0,1,12
Count_Chocula,1,1,0,13
Cracklin'_Oat_Bran,3,3,4,7
Cream_of_Wheat_(Quick),3,0,1,0
Crispix,2,0,1,3
Crispy_Wheat_&_Raisins,2,1,2,10
Double_Chex,2,0,1,5
Froot_Loops,2,1,1,13
Frosted_Flakes,1,0,1,11
Frosted_Mini-Wheats,3,0,3,7
Fruitful_Bran,3,0,5,12
Fruity_Pebbles,1,1,0,12
Golden_Crisp,2,0,0,15
Golden_Grahams,1,1,0,9
Grape_Nuts_Flakes,3,1,3,5
Grape-Nuts,3,0,3,3
Great_Grains_Pecan,3,3,3,4
Honey_Graham_Ohs,1,2,1,11
Honey_Nut_Cheerios,3,1,1.5,10
Honey-comb,1,0,0,11
Just_Right_Crunchy__Nuggets,2,1,1,6
Just_Right_Fruit_&_Nut,3,1,2,9
Kix,2,1,0,3
Life,4,2,2,6
Lucky_Charms,2,1,0,12
Maypo,4,1,0,3
Mueslix_Crispy_Blend,3,2,3,13
Multi-Grain_Cheerios,2,1,2,6
Nut&Honey_Crunch,2,1,0,9
Nutri-Grain_Almond-Raisin,3,2,3,7
Nutri-grain_Wheat,3,0,3,2
Oatmeal_Raisin_Crisp,3,2,1.5,10
Post_Nat._Raisin_Bran,3,1,6,14
Product_19,3,0,1,3
Puffed_Rice,1,0,0,0
Puffed_Wheat,2,0,1,0
Quaker_Oat_Squares,4,1,2,6
Quaker_Oatmeal,5,2,2.7,0
Raisin_Bran,3,1,5,12
Raisin_Nut_Bran,3,2,2.5,8
Raisin_Squares,2,0,2,6
Rice_Chex,1,0,0,2
Rice_Krispies,2,0,0,3
Shredded_Wheat,2,0,3,0
Shredded_Wheat_'n'Bran,3,0,4,0
Shredded_Wheat_spoon_size,3,0,3,0
Smacks,2,1,1,15
Special_K,6,0,1,3
Strawberry_Fruit_Wheats,2,0,3,5
Total_Corn_Flakes,2,1,0,3
Total_Raisin_Bran,3,1,4,14
Total_Whole_Grain,3,1,3,3
Triples,2,1,0,3
Trix,1,1,0,12
Wheat_Chex,3,1,3,3
Wheaties,3,1,3,3
Wheaties_Honey_Gold,2,1,1,8
