Name,Population,Area,Density
AT1,3932865,23563,166.9085006
AT2,1817802.2,25939,70.07988743
AT3,3195742.2,34377,92.96163714
BE1,1192784.6,161,7408.6
BE2,6561581,13521,485.2881444
BE3,3620791.7,16845,214.9475631
BG3,3597343.4,68023,52.88422151
BG4,3541450.9,42347,83.62932203
CH0,8682302.2,41291,210.2710566
CY0,854792.4,9251,92.4
CZ0,10787796.4,78868,136.7829335
DE1,11013674.7,35751,308.0661995
DE2,13028020.4,70550,184.6636485
DE3,3740334.4,892,4193.2
DE4,2544313.2,29654,85.8
DE5,723487.3,419,1726.7
DE6,1912943.5,755,2533.7
DE7,6225867.7,21115,294.8552072
DE8,1657408.2,23213,71.4
DE9,7977043.3,47615,167.5321495
DEA,18072666.6,34110,529.8348461
DEB,4088847.5,19848,206.0080361
DEC,997799.6,2569,388.4
DED,4138328.4,18420,224.6649511
DEE,2264036.4,20452,110.7
DEF,2943912.6,15802,186.3
DEG,2172688.2,16202,134.1
DK0,5900126.4,42923,137.4583883
EE0,1370378.1,45227,30.3
EL3,3785395,3814,992.5
EL4,1172884.1,17499,67.02577862
EL5,3135675.2,51980,60.32464794
EL6,2760782.9,58756,46.98725066
ES1,4362578.1,45505,95.87030216
ES2,4458551.6,70383,63.34699572
ES3,6496257.6,8028,809.2
ES4,5607974.7,215300,26.04725824
ES5,13562885.9,60339,224.7781021
ES6,10122607.6,98944,102.3064319
ES7,2152349.5,7445,289.1
FI1,6007720.1,336859,17.83452453
FI2,29564.7,1581,18.7
FR1,12227320.17,12012.3,1017.9
FR2,10828445.48,145644.9,74.34826403
FR3,4085480.31,12414.1,329.1
FR4,5405799.18,48029.9,112.5507065
FR5,8837117.67,85099.2,103.8448971
FR6,7172478.54,103598.6,69.23335393
FR7,7875876.29,69711.1,112.9787981
FR8,8203211.32,67455.2,121.6097694
HR0,4226138.9,56594,74.67468106
HU1,3051589.5,6915,441.3
HU2,3018790.6,36610,82.45808795
HU3,3930221.7,49486,79.42088065
IE0,4811798.4,69797,68.93990286
IS0,339900,103000,3.3
ITC,16507565.5,57928,284.9669504
ITF,14167410.9,73800,191.9703374
ITG,6769044.3,49933,135.5625398
ITH,12067254.8,62327,193.6119948
ITI,12213734.6,58085,210.2734716
LI0,38192,160,238.7
LT0,2990098.8,65286,45.8
LU0,582108.6,2586,225.1
LV0,2001763,64573,31
ME0,631208.4,13812,45.7
MK0,2139321.6,25713,83.2
MT0,457393.08,315.4,1450.2
NL1,2318397.6,11389,203.5646325
NL2,3945088.9,10969,359.6580272
NL3,10405851.2,11891,875.10312
NL4,3711246.6,7291,509.017501
NO0,5514227.5,323772,17.0312056
PL1,7870462.7,53777,146.3536958
PL2,7952050.5,27516,288.9973288
PL3,6649380.8,74866,88.81709721
PL4,6273635,66706,94.04903607
PL5,3852226.7,29359,131.2111005
PL6,5954914.1,60455,98.50159788
PT1,10093081.8,89102,113.275592
PT2,247293,2322,106.5
PT3,256640,802,320
RO1,4928593.16,68260.2,72.20302841
RO2,5890236.3,72611.5,81.11988184
RO3,5445335.58,36274.2,150.1159386
RO4,3828122.12,61244.9,62.50515749
SE1,4109849.1,47983,85.6521914
SE2,4511646.5,80657,55.93620517
SE3,1884087.9,309934,6.078997141
SI0,2077180.89,20273,102.4604592
SK0,5473735.1,49035,111.6291445
TR1,15088222,5315,2838.8
TR2,3464533.4,43163,80.26627899
TR3,10428885.8,89998,115.879084
TR4,7691474,49367,155.8019325
TR5,7907763.6,75084,105.3188908
TR6,10351906.9,89839,115.2273166
TR7,3951380.8,91574,43.14959268
TR8,4551832.1,73902,61.59281346
TR9,2627497.8,35174,74.7
TRA,2220321.4,70991,31.27609697
TRB,3945875.3,79078,49.89852171
TRC,8663076.7,76509,113.2295116
UKC,2665581.5,8676,307.2362264
UKD,7721199.2,14919,517.5413366
UKE,5456926.8,15562,350.6571649
UKF,4739918,15811,299.7860983
UKG,5790883.2,13004,445.3155337
UKH,6302464.4,19586,321.7841519
UKI,8974989.5,1594,5630.482748
UKJ,9187465.4,19404,473.4830653
UKK,5646651.9,24389,231.5245357
UKL,3181555.8,21225,149.8966219
UKM,5517618.6,80233,68.76994005
UKN,1945701,14130,137.7
