Name,Population,Area,Density,Lat,Lng,newDensity
AT1,3932865,23563,166.9085006,48.2537,15.8067,2.246534377
AT2,1817802.2,25939,70.07988743,47.0504,14.4143,1.545523111
AT3,3195742.2,34377,92.96163714,47.2828,12.2615,1.757293087
BE1,1192784.6,161,7408.6,50.8132,4.3622,7.929756251
BE2,6561581,13521,485.2881444,51.1244,4.3791,3.34572407
BE3,3620791.7,16845,214.9475631,50.2812,5.2588,2.481170883
BG3,3597343.4,68023,52.88422151,42.9019,25.4823,1.348883718
BG4,3541450.9,42347,83.62932203,42.1511,24.4722,1.676245298
CH0,8682302.2,41291,210.2710566,46.931,8.2241,2.460172477
CY0,854792.4,9251,92.4,35.0479,33.2428,1.752592476
CZ0,10787796.4,78868,136.7829335,49.871,15.475,2.072047838
DE1,11013674.7,35751,308.0661995,48.5932,9.0037,2.841679185
DE2,13028020.4,70550,184.6636485,48.8115,11.5045,2.338530284
DE3,3740334.4,892,4193.2,52.4987,13.4099,6.699234926
DE4,2544313.2,29654,85.8,52.0687,13.7165,1.695680187
DE5,723487.3,419,1726.7,53.1075,8.7748,5.098397214
DE6,1912943.5,755,2533.7,53.5346,10.028,5.746968378
DE7,6225867.7,21115,294.8552072,50.5977,9.0386,2.796023166
DE8,1657408.2,23213,71.4,53.7976,12.5029,1.559053513
DE9,7977043.3,47615,167.5321495,52.5862,9.696,2.249887224
DEA,18072666.6,34110,529.8348461,51.4543,7.6155,3.449913138
DEB,4088847.5,19848,206.0080361,49.9241,7.4711,2.440723291
DEC,997799.6,2569,388.4,49.4097,6.8804,3.09154487
DED,4138328.4,18420,224.6649511,51.0135,13.4566,2.523731307
DEE,2264036.4,20452,110.7,51.9826,11.8741,1.895862388
DEF,2943912.6,15802,186.3,54.0254,9.7047,2.346669685
DEG,2172688.2,16202,134.1,50.8641,10.9268,2.055153332
DK0,5900126.4,42923,137.4583883,55.8736,9.1402,2.076261985
EE0,1370378.1,45227,30.3,58.7233,25.807,0.998366961
EL3,3785395,3814,992.5,38.0842,23.7688,4.265030154
EL4,1172884.1,17499,67.02577862,35.1677,24.916,1.513471297
EL5,3135675.2,51980,60.32464794,40.7981,23.322,1.439105433
EL6,2760782.9,58756,46.98725066,39.233,22.2089,1.270343504
ES1,4362578.1,45505,95.87030216,43.3048,-6.2243,1.781301982
ES2,4458551.6,70383,63.34699572,41.856,-1.0299,1.473375196
ES3,6496257.6,8028,809.2,40.482,-3.7612,3.985711085
ES4,5607974.7,215300,26.04725824,41.0344,0.5871,0.911316848
ES5,13562885.9,60339,224.7781021,37.5541,-4.5244,2.524218684
ES6,10122607.6,98944,102.3064319,28.3334,-15.685,1.832546574
ES7,2152349.5,7445,289.1,65.1602,27.0858,2.775652837
FI1,6007720.1,336859,17.83452453,60.2025,19.8877,0.707207422
FI2,29564.7,1581,18.7,48.6505,2.5267,0.731697659
FR1,12227320.17,12012.3,1017.9,47.5617,2.2858,4.300601438
FR2,10828445.48,145644.9,74.34826403,50.3672,2.8932,1.588607442
FR3,4085480.31,12414.1,329.1,48.1854,6.5606,2.911429196
FR4,5405799.18,48029.9,112.5507065,47.3567,-1.0895,1.909335315
FR5,8837117.67,85099.2,103.8448971,44.3768,0.8327,1.844436136
FR6,7172478.54,103598.6,69.23335393,45.2837,4.6242,1.536745711
FR7,7875876.29,69711.1,112.9787981,43.8345,4.7037,1.912428081
FR8,8203211.32,67455.2,121.6097694,3.8574,-53.1107,1.972985968
FRA,2110657.88,88868.2,23.75042906,45.4971,15.9328,0.859777776
HR0,4226138.9,56594,74.67468106,47.4327,19.4006,1.591825144
HU1,3051589.5,6915,441.3,46.8801,17.56,3.235545433
HU2,3018790.6,36610,82.45808795,47.4276,20.8147,1.665601211
HU3,3930221.7,49486,79.42088065,53.0539,-7.8033,1.637460986
IE0,4811798.4,69797,68.93990286,64.6641,-18.2534,1.533684237
IS0,339900,103000,3.3,45.247,8.4465,0
ITC,16507565.5,57928,284.9669504,40.8511,15.7159,2.760835637
ITF,14167410.9,73800,191.9703374,37.5717,14.1725,2.374466244
ITG,6769044.3,49933,135.5625398,45.5784,11.5583,2.064394088
ITH,12067254.8,62327,193.6119948,42.9247,11.8572,2.382398723
ITI,12213734.6,58085,210.2734716,47.1385,9.554,2.460183411
LI0,38192,160,238.7,55.1439,23.9422,2.582829097
LT0,2990098.8,65286,45.8,49.7529,6.1333,1.253645897
LU0,582108.6,2586,225.1,57.0475,25.4303,2.525604193
LV0,2001763,64573,31,41.5958,21.7436,1.011801649
ME0,631208.4,13812,45.7,35.8925,14.426,1.252224724
MK0,2139321.6,25713,83.2,53.1215,6.3893,1.672356709
MT0,457393.08,315.4,1450.2,52.3295,6.0333,4.823210889
NL1,2318397.6,11389,203.5646325,52.0387,4.5303,2.429439296
NL2,3945088.9,10969,359.6580272,51.5306,5.2083,3.007032955
NL3,10405851.2,11891,875.10312,66.5773,14.611,4.091137352
NL4,3711246.6,7291,509.017501,52.2423,20.6015,3.402076502
NO0,5514227.5,323772,17.0312056,50.0577,19.7284,0.68366496
PL1,7870462.7,53777,146.3536958,50.5646,21.925,2.130361537
PL2,7952050.5,27516,288.9973288,53.1522,16.6139,2.775286686
PL3,6649380.8,74866,88.81709721,50.89,16.7564,1.722089986
PL4,6273635,66706,94.04903607,53.7911,19.7526,1.766333845
PL5,3852226.7,29359,131.2111005,39.6971,-8.0271,2.036675984
PL6,5954914.1,60455,98.50159788,37.7765,-25.4907,1.802555189
PT1,10093081.8,89102,113.275592,32.7364,-16.9725,1.914567126
PT2,247293,2322,106.5,46.741,23.9367,1.86464817
PT3,256640,802,320,45.9246,27.2332,2.881675641
RO1,4928593.16,68260.2,72.20302841,44.607,26.266,1.567192563
RO2,5890236.3,72611.5,81.11988184,45.0927,23.0029,1.653299989
RO3,5445335.58,36274.2,150.1159386,59.3022,16.4995,2.152502141
RO4,3828122.12,61244.9,62.50515749,57.2294,13.9586,1.463955217
SE1,4109849.1,47983,85.6521914,64.6881,17.5898,1.694368576
SE2,4511646.5,80657,55.93620517,46.051,14.9861,1.38697597
SE3,1884087.9,309934,6.078997141,48.8015,19.7,0.222401477
SI0,2077180.89,20273,102.4604592,55.0527,-2.0094,1.833742944
SK0,5473735.1,49035,111.6291445,53.7924,-2.5256,1.902647392
TR1,15088222,5315,2838.8,53.9068,-1.208,5.951532365
TR2,3464533.4,43163,80.26627899,52.8208,-0.9014,1.645373674
TR3,10428885.8,89998,115.879084,52.5586,-2.2038,1.933153063
TR4,7691474,49367,155.8019325,52.2319,0.5087,2.185187111
TR5,7907763.6,75084,105.3188908,51.5363,-0.2046,1.855704166
TR6,10351906.9,89839,115.2273166,51.331,-0.8556,1.928529818
TR7,3951380.8,91574,43.14959268,50.9358,-3.3314,1.215164438
TR8,4551832.1,73902,61.59281346,52.3157,-3.6323,1.453638233
TR9,2627497.8,35174,74.7,56.5378,-4.2256,1.592074288
TRA,2220321.4,70991,31.27609697,54.6959,-6.8053,1.017038075
TRB,3945875.3,79078,49.89852171,41.1896,28.5412,1.309988279
TRC,8663076.7,76509,113.2295116,39.8552,27.5891,1.914235292
UKC,2665581.5,8676,307.2362264,38.3504,28.8007,2.838854564
UKD,7721199.2,14919,517.5413366,40.3998,30.28,3.421837835
UKE,5456926.8,15562,350.6571649,38.4974,32.4974,2.979527201
UKF,4739918,15811,299.7860983,36.3115,33.0903,2.813239994
UKG,5790883.2,13004,445.3155337,38.8344,35.5635,3.245936407
UKH,6302464.4,19586,321.7841519,41.0369,34.5711,2.887558702
UKI,8974989.5,1594,5630.482748,40.5262,39.3106,7.314554165
UKJ,9187465.4,19404,473.4830653,40.0612,41.9829,3.316916305
UKK,5646651.9,24389,231.5245357,38.8376,41.5232,2.552950812
UKL,3181555.8,21225,149.8966219,37.6659,40.1388,2.151222967
UKM,5517618.6,80233,68.76994005,40.6467,-5.4906,1.531906601
UKN,1945701,14130,137.7,42.8055,19.1808,2.077765624
